CBS,1,2e-05,25,24,
CBS,10,0.00466,248,48,
CBS,11,0.000163,267,48,
CBSH2,11,0.00016,267,48,0.195312,
CBSH2,11,0.009649,251,37,0,
CBSH2,20,0.01976,406,37,0,
CBSH2,23,0.038826,501,38,0,
CBS,23,0.019581,501,38,0,
CBS,24,0.022945,551,40,0,
CBSH2,10,0.07529,1077,192,0.438135,
CBSH2,20,0.066471,466,49,0.200195,
CBS,20,0.043248,466,49,0.200195,
CBS,24,0.161261,563,50,0.200195,
CBSH,24,0.042119,661,49,0.200195,
CBS,24,0.031214,661,49,0.200195,
CBS,24,0.031779,661,49,0.200195,6,
CBS,24,0.017786,2205,170,0.438135,1,
CBS,30,0.022077,2686,176,0.438135,1,
CBS,40,0.053106,3437,176,0.438135,2,
CBS,45,0.083909,3863,176,0.438135,3,
CBS,47,48.3548,4120,176,0.438135,1780,
CBSH2,47,31.0419,4120,176,0.438135,16,
CBSH,47,24.2655,4120,176,0.438135,618,
CG,47,49.2191,4120,176,0.438135,1813,
CBSH,48,30.4939,4187,176,0.438135,673,
CBS,10,0.066484,1112,205,0.438135,4,
CBS,1,1.4e-05,21,20,0.489996,0,
CBS,5,0.000146,240,85,0.489996,0,
CBS,10,0.000239,393,85,0.489996,0,
CBS,20,0.030811,799,85,0.489996,3,
CBSH,20,0.000456,902,82,0.489996,0,
CBSH,20,0.216112,794,73,0.489996,18,
CBSH,25,0.187788,981,73,0.489996,14,
CBSH,30,0.149985,1242,73,0.489996,10,
CBSH,33,0.484299,1400,73,0.489996,33,
CBSH,34,0.490918,1430,73,0.489996,33,
CBSH,34,7.79821,3224,196,0.438135,16,
